epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.4348,1.64829,2.43844,1.94791,0.51552,0.47635,0.46754,0.20187,1.85513,2.31284,2.09947,0.000554193,0.000554193,0.000554193
2,184.542,1.65775,1.8693,1.94184,0.54614,0.45809,0.47189,0.20294,1.82712,1.95395,2.039,0.00106591,0.00106591,0.00106591
3,272.47,1.60611,1.68034,1.89395,0.58531,0.4914,0.49168,0.23293,1.76634,1.91214,2.03565,0.00153362,0.00153362,0.00153362
4,360.008,1.54551,1.57317,1.84298,0.65355,0.53562,0.58378,0.28765,1.67237,1.6797,1.89885,0.00146896,0.00146896,0.00146896
5,445.008,1.47751,1.46455,1.77525,0.55916,0.49676,0.47734,0.19777,1.91238,1.92646,2.25482,0.00140295,0.00140295,0.00140295
6,531.591,1.41768,1.37952,1.73158,0.67458,0.58251,0.63391,0.31983,1.65151,1.4757,1.91161,0.00133693,0.00133693,0.00133693
7,619.443,1.35014,1.31017,1.67446,0.64344,0.56445,0.60183,0.28517,1.71826,1.48063,1.93575,0.00127092,0.00127092,0.00127092
8,708.056,1.30037,1.23395,1.63381,0.71021,0.59916,0.66138,0.33362,1.6324,1.37618,1.89674,0.00120491,0.00120491,0.00120491
9,799.625,1.2266,1.14754,1.57278,0.70196,0.62731,0.67118,0.351,1.59525,1.30382,1.85408,0.00113889,0.00113889,0.00113889
10,886.079,1.18295,1.08925,1.53304,0.72707,0.61234,0.67495,0.34419,1.64589,1.28545,1.91454,0.00107288,0.00107288,0.00107288
11,971.741,1.11959,1.01736,1.48271,0.73579,0.62717,0.69094,0.37084,1.5646,1.24175,1.82382,0.00100687,0.00100687,0.00100687
12,1058.46,1.07552,0.97585,1.45252,0.71866,0.6068,0.67129,0.33337,1.68264,1.27991,1.97004,0.000940855,0.000940855,0.000940855
13,1145.93,1.0227,0.89471,1.40339,0.72105,0.62626,0.68206,0.35314,1.617,1.25317,1.91389,0.000874842,0.000874842,0.000874842
14,1231.18,0.96646,0.84279,1.36473,0.71516,0.61457,0.66999,0.34215,1.64345,1.29183,1.94386,0.000808828,0.000808828,0.000808828
15,1317.81,0.9043,0.77342,1.31513,0.7364,0.63776,0.69534,0.36104,1.63596,1.2194,1.96676,0.000742815,0.000742815,0.000742815
16,1406,0.85326,0.73344,1.27363,0.74784,0.64295,0.70552,0.36847,1.59454,1.179,1.94079,0.000676802,0.000676802,0.000676802
17,1492.62,0.80127,0.68046,1.233,0.73411,0.64082,0.69227,0.35433,1.63645,1.18599,2.00628,0.000610789,0.000610789,0.000610789
18,1577.73,0.75284,0.62509,1.19446,0.73361,0.61995,0.67192,0.33903,1.6714,1.23285,2.06763,0.000544776,0.000544776,0.000544776
19,1664.56,0.6951,0.57113,1.14885,0.74791,0.64188,0.6895,0.35602,1.6358,1.18753,2.08946,0.000478762,0.000478762,0.000478762
20,1751.9,0.64848,0.53955,1.11657,0.74321,0.62596,0.6756,0.34487,1.664,1.2185,2.14636,0.000412749,0.000412749,0.000412749
21,1838.53,0.60073,0.49535,1.08285,0.74021,0.6253,0.67186,0.34581,1.66179,1.22557,2.14732,0.000346736,0.000346736,0.000346736
